Time,PosX,PosY,PosZ,RotX,RotY,RotZ
3.762558,18.10248,23.73138,-17.54896,0,0,0
3.773527,18.10248,23.73138,-17.54896,0,0,0
3.784645,18.10248,23.73138,-17.54896,0,0,0
3.795884,18.10248,23.73138,-17.54896,0,0,0
3.806885,18.10248,23.73138,-17.54896,0,0,0
3.817904,18.10248,23.73138,-17.54896,0,0,0
3.829031,18.10248,23.73138,-17.54896,0,0,0
3.840351,18.10248,23.73138,-17.54896,0,0,0
3.851228,18.10248,23.73138,-17.54896,0,0,0
3.862398,18.10248,23.73138,-17.54896,0,0,0
3.873534,18.10248,23.73138,-17.54896,0,0,0
3.884604,18.10248,23.73138,-17.54896,0,0,0
3.896027,18.10248,23.73138,-17.54896,0,0,0
3.906966,18.10248,23.73138,-17.54896,0,0,0
3.917948,18.10248,23.73138,-17.54896,0,0,0
3.929058,18.10248,23.73138,-17.54896,0,0,0
3.940375,18.10248,23.73138,-17.54896,0,0,0
3.952167,18.10248,23.73138,-17.54896,0,0,0
3.963931,18.10248,23.73138,-17.54896,0,0,0
3.974333,18.10248,23.73138,-17.54896,0,0,0
3.985345,18.10248,23.73138,-17.54896,0,0,0
3.996183,18.10248,23.73138,-17.54896,0,0,0
4.007157,18.10248,23.73138,-17.54896,0,0,0
4.018034,18.10248,23.73138,-17.54896,0,0,0
4.029303,18.10248,23.73138,-17.54896,0,0,0
4.040261,18.10248,23.73138,-17.54896,0,0,0
4.051382,18.10248,23.73138,-17.54896,0,0,0
4.062473,18.10248,23.73138,-17.54896,0,0,0
4.073548,18.10248,23.73138,-17.54896,0,0,0
4.084996,18.10248,23.73138,-17.54896,0,0,0
4.095882,18.10248,23.73138,-17.54896,0,0,0
4.10687,18.10248,23.73138,-17.54896,0,0,0
4.11808,18.10248,23.73138,-17.54896,0,0,0
4.130083,18.10248,23.73138,-17.54896,0,0,0
4.14102,18.10248,23.73138,-17.54896,0,0,0
4.151819,18.10248,23.73138,-17.54896,0,0,0
4.162872,18.10248,23.73138,-17.54896,0,0,0
4.174003,18.10248,23.73138,-17.54896,0,0,0
4.184815,18.10248,23.73138,-17.54896,0,0,0
4.19627,18.10248,23.73138,-17.54896,0,0,0
4.207326,18.10248,23.73138,-17.54896,0,0,0
4.218956,18.10248,23.73138,-17.54896,0,0,0
4.229616,18.10248,23.73138,-17.54896,0,0,0
4.240644,18.10248,23.73138,-17.54896,0,0,0
4.252269,18.10248,23.73138,-17.54896,0,0,0
4.263248,18.10248,23.73138,-17.54896,0,0,0
4.274266,18.10248,23.73138,-17.54896,0,0,0
4.284852,18.10248,23.73138,-17.54896,0,0,0
4.295922,18.10248,23.73138,-17.54896,0,0,0
4.307197,18.10248,23.73138,-17.54896,0,0,0
4.318144,18.10248,23.73138,-17.54896,0,0,0
4.329659,18.10248,23.73138,-17.54896,0,0,0
4.34073,18.10248,23.73138,-17.54896,0,0,0
4.351715,18.10248,23.73138,-17.54896,0,0,0
4.362772,18.10248,23.73138,-17.54896,0,0,0
4.374043,18.10248,23.73138,-17.54896,0,0,0
4.384923,18.10248,23.73138,-17.54896,0,0,0
4.396043,18.10248,23.73138,-17.54896,0,0,0
4.407101,18.10248,23.73138,-17.54896,0,0,0
4.418406,18.10248,23.73138,-17.54896,0,0,0
4.429435,18.10248,23.73138,-17.54896,0,0,0
4.440711,18.10248,23.73138,-17.54896,0,0,0
4.451691,18.10248,23.73138,-17.54896,0,0,0
4.462974,18.10248,23.73138,-17.54896,0,0,0
4.473812,18.10248,23.73138,-17.54896,0,0,0
4.485345,18.10248,23.73138,-17.54896,0,0,0
4.49621,18.10248,23.73138,-17.54896,0,0,0
4.507044,18.10248,23.73138,-17.54896,0,0,0
4.518358,18.10248,23.73138,-17.54896,0,0,0
4.529356,18.10248,23.73138,-17.54896,0,0,0
4.540349,18.10248,23.73138,-17.54896,0,0,0
4.551659,18.10248,23.73138,-17.54896,0,0,0
4.562572,18.10248,23.73138,-17.54896,0,0,0
4.573588,18.10248,23.73138,-17.54896,0,0,0
4.584705,18.10248,23.73138,-17.54896,0,0,0
4.595912,18.10248,23.73138,-17.54896,0,0,0
4.606984,18.10248,23.73138,-17.54896,0,0,0
4.618299,18.10248,23.73138,-17.54896,0,0,0
4.62922,18.10248,23.73138,-17.54896,0,0,0
4.640193,18.10248,23.73138,-17.54896,0,0,0
4.651428,18.10248,23.73138,-17.54896,0,0,0
4.662372,18.10248,23.73138,-17.54896,0,0,0
4.6736,18.10248,23.73138,-17.54896,0,0,0
4.684912,18.10248,23.73138,-17.54896,0,0,0
4.695793,18.10248,23.73138,-17.54896,0,0,0
4.706807,18.10248,23.73138,-17.54896,0,0,0
4.717932,18.10248,23.73138,-17.54896,0,0,0
4.729233,18.10248,23.73138,-17.54896,0,0,0
4.740666,18.10248,23.73138,-17.54896,0,0,0
4.751294,18.10248,23.73138,-17.54896,0,0,0
4.762547,18.10248,23.73138,-17.54896,0,0,0
4.773569,18.10248,23.73138,-17.54896,0,0,0
4.784592,18.10248,23.73138,-17.54896,0,0,0
4.795818,18.10248,23.73138,-17.54896,0,0,0
4.806883,18.10248,23.73138,-17.54896,0,0,0
4.817964,18.10248,23.73138,-17.54896,0,0,0
4.829101,18.10248,23.73138,-17.54896,0,0,0
4.840401,18.10248,23.73138,-17.54896,0,0,0
4.851302,18.10248,23.73138,-17.54896,0,0,0
4.862362,18.10248,23.73138,-17.54896,0,0,0
4.873865,18.10248,23.73138,-17.54896,0,0,0
4.884719,18.10248,23.73138,-17.54896,0,0,0
4.896016,18.10248,23.73138,-17.54896,0,0,0
4.906814,18.10248,23.73138,-17.54896,0,0,0
4.917968,18.10248,23.73138,-17.54896,0,0,0
4.929284,18.10248,23.73138,-17.54896,0,0,0
4.940182,18.10248,23.73138,-17.54896,0,0,0
4.95143,18.10248,23.73138,-17.54896,0,0,0
4.962689,18.10248,23.73138,-17.54896,0,0,0
4.974243,18.10248,23.73138,-17.54896,0,0,0
4.98487,18.10248,23.73138,-17.54896,0,0,0
4.995842,18.10248,23.73138,-17.54896,0,0,0
5.006931,18.10248,23.73138,-17.54896,0,0,0
5.017986,18.10248,23.73138,-17.54896,0,0,0
5.029079,18.10248,23.73138,-17.54896,0,0,0
5.040168,18.10248,23.73138,-17.54896,0,0,0
5.051679,18.10248,23.73138,-17.54896,0,0,0
5.062358,18.10248,23.73138,-17.54896,0,0,0
5.073563,18.10248,23.73138,-17.54896,0,0,0
5.08491,18.10248,23.73138,-17.54896,0,0,0
5.09572,18.10248,23.73138,-17.54896,0,0,0
5.106901,18.10248,23.73138,-17.54896,0,0,0
5.118033,18.10248,23.73138,-17.54896,0,0,0
5.129048,18.10248,23.73138,-17.54896,0,0,0
5.140751,18.10248,23.73138,-17.54896,0,0,0
5.151649,18.10248,23.73138,-17.54896,0,0,0
5.162519,18.10248,23.73138,-17.54896,0,0,0
5.173594,18.10248,23.73138,-17.54896,0,0,0
5.18465,18.10248,23.73138,-17.54896,0,0,0
5.195847,18.10248,23.73138,-17.54896,0,0,0
5.207061,18.10248,23.73138,-17.54896,0,0,0
5.218226,18.10248,23.73138,-17.54896,0,0,0
5.229086,18.10248,23.73138,-17.54896,0,0,0
5.240269,18.10248,23.73138,-17.54896,0,0,0
5.251257,18.10248,23.73138,-17.54896,0,0,0
5.262433,18.10248,23.73138,-17.54896,0,0,0
5.273603,18.10248,23.73138,-17.54896,0,0,0
5.284685,18.10248,23.73138,-17.54896,0,0,0
5.295738,18.10248,23.73138,-17.54896,0,0,0
5.306959,18.10248,23.73138,-17.54896,0,0,0
5.318004,18.10248,23.73138,-17.54896,0,0,0
5.329333,18.10248,23.73138,-17.54896,0,0,0
5.340149,18.10248,23.73138,-17.54896,0,0,0
5.351463,18.10248,23.73138,-17.54896,0,0,0
5.36239,18.10248,23.73138,-17.54896,0,0,0
5.373853,18.10248,23.73138,-17.54896,0,0,0
5.384712,18.10248,23.73138,-17.54896,0,0,0
5.396395,18.10248,23.73138,-17.54896,0,0,0
5.407015,18.10248,23.73138,-17.54896,0,0,0
5.418473,18.10248,23.73138,-17.54896,0,0,0
5.429192,18.10248,23.73138,-17.54896,0,0,0
5.440327,18.10248,23.73138,-17.54896,0,0,0
5.451666,18.10248,23.73138,-17.54896,0,0,0
5.462458,18.10248,23.73138,-17.54896,0,0,0
5.473925,18.10248,23.73138,-17.54896,0,0,0
5.484938,18.10248,23.73138,-17.54896,0,0,0
5.495827,18.10248,23.73138,-17.54896,0,0,0
5.50692,18.10248,23.73138,-17.54896,0,0,0
5.51816,18.10248,23.73138,-17.54896,0,0,0
5.529661,18.10248,23.73138,-17.54896,0,0,0
5.540632,18.10248,23.73138,-17.54896,0,0,0
5.551542,18.10248,23.73138,-17.54896,0,0,0
5.562612,18.10248,23.73138,-17.54896,0,0,0
5.573711,18.10248,23.73138,-17.54896,0,0,0
5.585083,18.10248,23.73138,-17.54896,0,0,0
5.595892,18.10248,23.73138,-17.54896,0,0,0
5.606953,18.10248,23.73138,-17.54896,0,0,0
5.618236,18.10248,23.73138,-17.54896,0,0,0
5.629488,18.10248,23.73138,-17.54896,0,0,0
5.640588,18.10248,23.73138,-17.54896,0,0,0
5.651607,18.10248,23.73138,-17.54896,0,0,0
5.662873,18.10248,23.73138,-17.54896,0,0,0
5.67402,18.10248,23.73138,-17.54896,0,0,0
5.685371,18.10248,23.73138,-17.54896,0,0,0
5.695984,18.10248,23.73138,-17.54896,0,0,0
5.707047,18.10248,23.73138,-17.54896,0,0,0
5.718409,18.10248,23.73138,-17.54896,0,0,0
5.729516,18.10248,23.73138,-17.54896,0,0,0
5.740674,18.10248,23.73138,-17.54896,0,0,0
5.75174,18.10248,23.73138,-17.54896,0,0,0
5.762815,18.10248,23.73138,-17.54896,0,0,0
5.773683,18.10248,23.73138,-17.54896,0,0,0
5.784805,18.10248,23.73138,-17.54896,0,0,0
5.795882,18.10248,23.73138,-17.54896,0,0,0
5.807215,18.10248,23.73138,-17.54896,0,0,0
5.818156,18.10248,23.73138,-17.54896,0,0,0
5.829774,18.10248,23.73138,-17.54896,0,0,0
5.840545,18.10248,23.73138,-17.54896,0,0,0
5.857559,18.10248,23.73138,-17.54896,0,0,0
5.865002,18.10248,23.73138,-17.54896,0,0,0
5.873692,18.10248,23.73138,-17.54896,0,0,0
5.884943,18.10248,23.73138,-17.54896,0,0,0
5.896094,18.10248,23.73138,-17.54896,0,0,0
5.906983,18.10248,23.73138,-17.54896,0,0,0
5.918299,18.10248,23.73138,-17.54896,0,0,0
5.929245,18.10248,23.73138,-17.54896,0,0,0
5.940203,18.10248,23.73138,-17.54896,0,0,0
5.951446,18.10248,23.73138,-17.54896,0,0,0
5.962429,18.10248,23.73138,-17.54896,0,0,0
5.973497,18.10248,23.73138,-17.54896,0,0,0
5.984851,18.10248,23.73138,-17.54896,0,0,0
5.995816,18.10248,23.73138,-17.54896,0,0,0
6.006995,18.10248,23.73138,-17.54896,0,0,0
6.018005,18.10248,23.73138,-17.54896,0,0,0
6.029478,18.10248,23.73138,-17.54896,0,0,0
6.040254,18.10248,23.73138,-17.54896,0,0,0
6.051419,18.10248,23.73138,-17.54896,0,0,0
6.062413,18.10248,23.73138,-17.54896,0,0,0
6.073534,18.10248,23.73138,-17.54896,0,0,0
6.084839,18.10248,23.73138,-17.54896,0,0,0
6.095719,18.10248,23.73138,-17.54896,0,0,0
6.106814,18.10248,23.73138,-17.54896,0,0,0
6.118051,18.10248,23.73138,-17.54896,0,0,0
6.129138,18.10248,23.73138,-17.54896,0,0,0
6.140258,18.10248,23.73138,-17.54896,0,0,0
6.15136,18.10248,23.73138,-17.54896,0,0,0
6.162445,18.10248,23.73138,-17.54896,0,0,0
6.173495,18.10248,23.73138,-17.54896,0,0,0
6.184642,18.10248,23.73138,-17.54896,0,0,0
6.195765,18.10248,23.73138,-17.54896,0,0,0
6.206841,18.10248,23.73138,-17.54896,0,0,0
6.217973,18.10248,23.73138,-17.54896,0,0,0
6.229142,18.10248,23.73138,-17.54896,0,0,0
6.24045,18.10248,23.73138,-17.54896,0,0,0
6.251538,18.10248,23.73138,-17.54896,0,0,0
6.262436,18.10248,23.73138,-17.54896,0,0,0
6.273811,18.10248,23.73138,-17.54896,0,0,0
6.285075,18.10248,23.73138,-17.54896,0,0,0
6.295856,18.10248,23.73138,-17.54896,0,0,0
